case_id,task,resource,start_time,completion_time
Intervention Loaded1074,Intervention Loaded,,2020-01-01 00:10:44.400000,2020-01-01 00:10:44.400000
Intervention Loaded1075,Intervention Loaded,,2020-01-01 00:10:45.000000,2020-01-01 00:10:45.000000
Intervention Loaded1076,Intervention Loaded,,2020-01-01 00:10:45.600000,2020-01-01 00:10:45.600000
Intervention Loaded1077,Intervention Loaded,,2020-01-01 00:10:46.200000,2020-01-01 00:10:46.200000
Intervention Loaded1078,Intervention Loaded,,2020-01-01 00:10:46.800000,2020-01-01 00:10:46.800000
Intervention Loaded1079,Intervention Loaded,,2020-01-01 00:10:47.400000,2020-01-01 00:10:47.400000
Intervention Loaded1080,Intervention Loaded,,2020-01-01 00:10:48.000000,2020-01-01 00:10:48.000000
Intervention Loaded1081,Intervention Loaded,,2020-01-01 00:10:48.600000,2020-01-01 00:10:48.600000
Intervention Loaded1082,Intervention Loaded,,2020-01-01 00:10:49.200000,2020-01-01 00:10:49.200000
Intervention Loaded1083,Intervention Loaded,,2020-01-01 00:10:49.800000,2020-01-01 00:10:49.800000
Intervention Loaded1084,Intervention Loaded,,2020-01-01 00:10:50.400000,2020-01-01 00:10:50.400000
Intervention Loaded1085,Intervention Loaded,,2020-01-01 00:10:51.000000,2020-01-01 00:10:51.000000
Intervention Loaded1086,Intervention Loaded,,2020-01-01 00:10:51.600000,2020-01-01 00:10:51.600000
Intervention Loaded1087,Intervention Loaded,,2020-01-01 00:10:52.200000,2020-01-01 00:10:52.200000
Intervention Loaded1088,Intervention Loaded,,2020-01-01 00:10:52.800000,2020-01-01 00:10:52.800000
Intervention Loaded1089,Intervention Loaded,,2020-01-01 00:10:53.400000,2020-01-01 00:10:53.400000
Intervention Loaded1090,Intervention Loaded,,2020-01-01 00:10:54.000000,2020-01-01 00:10:54.000000
Intervention Loaded1091,Intervention Loaded,,2020-01-01 00:10:54.600000,2020-01-01 00:10:54.600000
Intervention Loaded1092,Intervention Loaded,,2020-01-01 00:10:55.200000,2020-01-01 00:10:55.200000
Intervention Loaded1093,Intervention Loaded,,2020-01-01 00:10:55.800000,2020-01-01 00:10:55.800000
Intervention Loaded1094,Intervention Loaded,,2020-01-01 00:10:56.400000,2020-01-01 00:10:56.400000
Intervention Loaded1095,Intervention Loaded,,2020-01-01 00:10:57.000000,2020-01-01 00:10:57.000000
Intervention Loaded1096,Intervention Loaded,,2020-01-01 00:10:57.600000,2020-01-01 00:10:57.600000
Intervention Loaded1097,Intervention Loaded,,2020-01-01 00:10:58.200000,2020-01-01 00:10:58.200000
Intervention Loaded1098,Intervention Loaded,,2020-01-01 00:10:58.800000,2020-01-01 00:10:58.800000
Intervention Loaded1099,Intervention Loaded,,2020-01-01 00:10:59.400000,2020-01-01 00:10:59.400000
Intervention Loaded1100,Intervention Loaded,,2020-01-01 00:11:00.000000,2020-01-01 00:11:00.000000
Intervention Loaded1101,Intervention Loaded,,2020-01-01 00:11:00.600000,2020-01-01 00:11:00.600000
Intervention Loaded1102,Intervention Loaded,,2020-01-01 00:11:01.200000,2020-01-01 00:11:01.200000
Intervention Loaded1103,Intervention Loaded,,2020-01-01 00:11:01.800000,2020-01-01 00:11:01.800000
Intervention Loaded1104,Intervention Loaded,,2020-01-01 00:11:02.400000,2020-01-01 00:11:02.400000
Intervention Loaded1105,Intervention Loaded,,2020-01-01 00:11:03.000000,2020-01-01 00:11:03.000000
Intervention Loaded1106,Intervention Loaded,,2020-01-01 00:11:03.600000,2020-01-01 00:11:03.600000
Intervention Loaded1107,Intervention Loaded,,2020-01-01 00:11:04.200000,2020-01-01 00:11:04.200000
Intervention Loaded1108,Intervention Loaded,,2020-01-01 00:11:04.800000,2020-01-01 00:11:04.800000
Intervention Loaded1109,Intervention Loaded,,2020-01-01 00:11:05.400000,2020-01-01 00:11:05.400000
Intervention Loaded1110,Intervention Loaded,,2020-01-01 00:11:06.000000,2020-01-01 00:11:06.000000
Intervention Loaded1111,Intervention Loaded,,2020-01-01 00:11:06.600000,2020-01-01 00:11:06.600000
Intervention Loaded1112,Intervention Loaded,,2020-01-01 00:11:07.200000,2020-01-01 00:11:07.200000
Intervention Loaded1113,Intervention Loaded,,2020-01-01 00:11:07.800000,2020-01-01 00:11:07.800000
Intervention Loaded1114,Intervention Loaded,,2020-01-01 00:11:08.400000,2020-01-01 00:11:08.400000
Intervention Loaded1115,Intervention Loaded,,2020-01-01 00:11:09.000000,2020-01-01 00:11:09.000000
Intervention Loaded1116,Intervention Loaded,,2020-01-01 00:11:09.600000,2020-01-01 00:11:09.600000
Intervention Loaded44,Generate Discrepancy,dhs-1,2020-01-01 00:09:46.157219,2020-01-01 00:11:09.893964
Intervention Loaded1117,Intervention Loaded,,2020-01-01 00:11:10.200000,2020-01-01 00:11:10.200000
Intervention Loaded46,Generate Discrepancy,dhs-2,2020-01-01 00:09:46.757219,2020-01-01 00:11:10.493964
Intervention Loaded1118,Intervention Loaded,,2020-01-01 00:11:10.800000,2020-01-01 00:11:10.800000
Intervention Loaded48,Generate Discrepancy,dhs-3,2020-01-01 00:09:47.357219,2020-01-01 00:11:11.093964
